code,shares
4557,47971840
4558,50000000
4560,68097240
4561,58521619
4562,87546000
4563,54950000
4564,232788303
4566,110381002
4568,32045125
4569,30600000
4571,53017115
4572,40018679
4576,119801848
4577,49137998
4580,46803109
4581,33899000
4582,75480000
4583,80171351
4585,104609000
4588,42985000
4590,54838400
4609,47946820
4702,72333200
4706,79030093
4707,413808151
4711,61056000
4714,221838188
4716,94427191
4720,114516037
4721,74986304
4722,103765073
4726,207041800
4729,79226741
4735,41568758
4736,95374469
4737,77328053
4739,124649269
4741,34812079
4743,480533486
4744,56948450
4745,69705547
4746,120255963
4747,90922064
4749,94732865
4754,30283215
4755,100706000
4760,32778289
4763,989146670
4764,85542062
4766,120570780
4767,31415000
4768,48200288
4770,79976000
4771,58708700
4772,147681552
4806,99947092
4807,48996032
4903,105343714
4904,3607705357
4905,29260044
4906,436353471
4907,118145778
4908,78216907
4909,93356864
4911,68817133
4912,66993099
4915,471880824
4916,124082539
4919,419765268
4923,36940360
4924,37164409
4927,264937988
4930,80000000
4931,65565761
4933,82662675
4934,225000000
4935,128864091
4938,2682044103
4939,98200868
4942,142367613
4943,126694353
4946,8852816
4949,67703143
4950,57729107
4951,34148713
4952,108815816
4953,73147014
4956,100408236
4958,1117274165
4960,571705388
4961,121253603
4966,78957788
4967,84963288
4968,92209898
4971,47185743
4972,56888587
4973,65292843
4974,72500104
4976,141218000
4977,82689841
4979,142802027
4989,172776500
4991,121334726
4994,66383400
4995,42592036
4999,74417200
5007,294940154
5009,602471197
5011,100673922
5013,133416000
5014,183265054
5015,60639189
5016,49622076
5201,38674600
5202,89094000
5203,77342550
5206,201093375
5209,28567224
5210,82177779
5211,32024727
5212,34633000
5213,721334326
5215,64337500
5220,39667000
5222,91094968
5223,44549781
5225,79136499
5227,96000000
5228,38056253
5230,55976730
5234,102715911
5236,60004038
5243,168528915
5244,68241899
5245,45127141
5251,33733377
5258,110364894
5263,78936891
5269,74156359
5272,55276118
5274,41582953
5276,39500000
5278,300000000
5283,87600510
5284,52892683
5285,102040926
5287,65738500
5288,69698722
5289,98335431
5291,41890606
5292,46318800
5299,50888981
5301,65890304
5302,159888349
5306,126000772
5309,230967451
5310,28943517
5312,60059898
5314,1205960000
5315,106351832
5321,59543149
5324,226379090
5328,172710724
5340,194893964
5344,79447460
5345,37795000
5347,1879567550
5348,14775917
5351,328636781
5353,75765000
5355,166122792
5356,103040000
5364,63849940
5381,207690562
5386,54121322
5388,304342542
5392,180093388
5398,49465460
5403,78176123
5410,93368623
5425,263485486
5426,143800000
5432,20687804
5434,193657655
5438,112536565
5439,92976751
5443,164746644
5450,122403239
5452,148763669
5455,65501813
5457,196428800
5460,58778130
5464,71071490
5465,147682629
5468,58922909
5469,486166000
5471,167877062
5474,39756944
5475,127127017
5478,156074332
5481,71402891
5483,641221651
5484,66801000
5487,24222516
5488,91586124
5489,102706441
5490,96152201
5493,43689255
5498,193548545
5508,217428133
5511,136000000
5512,766312494
5514,236118280
5515,201600084
5516,51545223
5519,230157039
5520,59975245
5521,492280155
5522,781596241
5523,155001464
5525,318105378
5529,105769350
5530,420084199
5531,977589245
5533,285244944
5534,315325960
5536,124080930
5538,201203333
5543,46703593
5546,82353402
5547,51000000
5548,63735065
5603,104876607
5604,108782968
5607,370552913
5608,389276138
5609,142884000
5701,143000000
5703,70239594
5704,58861658
5706,83767920
5864,504490084
5871,1745649584
5876,4910219171
5878,25024303
