date,code,market,prev_close,ref_price,kind,ratio
2023-01-31,00790B,上櫃,53.4,52.82,除息,0.9891385767790263
2023-01-31,00791B,上櫃,52.6,52.07,除息,0.9899239543726236
2023-01-31,00870B,上櫃,30.11,29.73,除息,0.9873796081036201
2023-01-31,00908,上市,14.09,13.95,息,0.9900638750887154
2023-02-01,00728,上市,23.79,22.86,息,0.9609079445145019
2023-02-01,00734B,上櫃,15.73,15.51,除息,0.9860139860139859
2023-02-01,00842B,上櫃,33.26,32.8,除息,0.9861695730607336
2023-02-01,00904,上市,11.85,11.75,息,0.9915611814345991
2023-02-01,00905,上市,9.2,8.93,息,0.9706521739130435
2023-02-02,00834B,上櫃,34.98,34.63,除息,0.9899942824471128
2023-02-02,2342,上市,41.7,40.7,息,0.9760191846522782
2023-02-07,2890,上市,17.35,17.2,權,0.9913544668587895
2023-02-07,5536,上櫃,114.0,110.58,除息,0.97
2023-02-09,3444,上櫃,70.8,68.44,除權,0.9666666666666667
2023-02-10,6026,上櫃,10.65,10.59,除權,0.9943661971830986
2023-02-13,4564,上市,24.55,24.1,權,0.9816700610997964
2023-02-13,6470,上櫃,59.9,57.92,除權,0.9669449081803005
2023-02-15,1788,上櫃,146.5,144.57,除權,0.9868259385665529
2023-02-16,00679B,上櫃,31.76,31.45,除息,0.9902392947103273
2023-02-16,00718B,上櫃,20.18,19.87,除息,0.9846382556987117
2023-02-16,00721B,上櫃,46.29,45.61,除息,0.9853100021602939
2023-02-16,00754B,上櫃,36.61,36.22,除息,0.9893471729035782
2023-02-16,00755B,上櫃,34.85,34.44,除息,0.988235294117647
2023-02-16,00756B,上櫃,32.6,32.17,除息,0.9868098159509202
2023-02-16,00771,上市,17.27,17.09,息,0.9895773016792125
2023-02-16,00772B,上櫃,35.25,35.1,除息,0.9957446808510638
2023-02-16,00773B,上櫃,36.02,35.86,除息,0.9955580233203775
2023-02-16,00780B,上櫃,35.82,35.32,除息,0.9860413176996091
2023-02-16,00786B,上櫃,33.89,33.43,除息,0.9864266745352611
2023-02-16,00794B,上櫃,40.36,39.76,除息,0.9851337958374627
2023-02-16,00795B,上櫃,32.23,31.93,除息,0.9906919019547007
2023-02-16,00799B,上櫃,33.7,33.24,除息,0.9863501483679525
2023-02-16,00840B,上櫃,31.92,31.59,除息,0.9896616541353382
2023-02-16,00841B,上櫃,31.84,31.54,除息,0.9905778894472361
2023-02-16,00845B,上櫃,31.3,30.96,除息,0.9891373801916933
2023-02-16,00846B,上櫃,32.85,32.55,除息,0.9908675799086757
2023-02-16,00847B,上櫃,28.13,27.84,除息,0.9896907216494846
2023-02-16,00860B,上櫃,36.45,36.08,除息,0.9898491083676267
2023-02-16,00878,上市,17.16,16.89,息,0.9842657342657343
2023-02-16,00890B,上櫃,33.24,32.64,除息,0.9819494584837545
2023-02-16,00891,上市,12.71,12.6,息,0.9913453973249409
2023-02-16,00894,上市,12.99,12.89,息,0.9923017705927637
